brand;name;link;image;color;consist;description
Betsey Johnson;Scuba Crepe Midi Dress with Flounce;https://www.6pm.com/p/betsey-johnson-scuba-crepe-midi-dress-with-flounce-black/product/9400799/color/3;https://m.media-amazon.com/images/I/71IPthjiqVL._AC_SX510_.jpg;Black; 95% polyester, 5% spandex;Crafted from soft polyester with a bit of stretch, enjoy a night out on the town wearing the Betsey Johnson® Scuba Crepe Midi Dress with Flounce.
Adrianna Papell;One Shoulder Jersey Dress;https://www.6pm.com/p/adrianna-papell-one-shoulder-jersey-dress-midnight/product/9432986/color/460;https://m.media-amazon.com/images/I/61H7GJtZgBL._AC_SX510_.jpg;Midnight; 95% polyester, 5% elastaneLining: 100% polyester;You'll be picture perfect in the Adrianna Papell™ featuring a flattering silhouette, a gathered drape detail at front, and a solid colorway on a lined jersey fabrication. 
eci;Short Ruffle Sleeve V-Neck Maxi Dress;https://www.6pm.com/p/eci-short-ruffle-sleeve-v-neck-maxi-dress-red/product/9389282/color/585;https://m.media-amazon.com/images/I/819YxXVxZuL._AC_SX510_.jpg;Red; 100% rayon;The eci™ Short Ruffle Sleeve V-Neck Maxi Dress shows off an eye-catching paisley design all over in a rayon fabrication so you can twirl into the season with cuteness.
Tommy Bahama;Palm Party Over the Shoulder Midi Dress;https://www.6pm.com/p/tommy-bahama-palm-party-over-the-shoulder-midi-dress-azure/product/9208247/color/9712;https://m.media-amazon.com/images/I/81tQkIqs+dL._AC_SX510_.jpg;Azure; Materials: 100% polyester;Live life on the easy-breezy side with this Tommy Bahama® Palm Party Over the Shoulder Midi Dress. 
MICHAEL Michael Kors;Solid Smock Neck Midi Dress;https://www.6pm.com/p/michael-michael-kors-solid-smock-neck-midi-dress-true-navy/product/9256481/color/2694;https://m.media-amazon.com/images/I/71PBQ39WkfL._AC_SX510_.jpg;True Navy; 39% polyester, 34% viscose, 26% nylon, 1% elastane ;This MICHAEL Michael Kors® Solid Smock Neck Midi Dress will keep you right all season. 
Tommy Hilfiger;Scuba Crepe Dress;https://www.6pm.com/p/tommy-hilfiger-scuba-crepe-dress-black-ivory/product/9260192/color/140;https://m.media-amazon.com/images/I/71IsFetbSjL._AC_SX510_.jpg;Black/Ivory; 94% polyester, 6% spandex;Steal the room in this dynamic yet feminine Tommy Hilfiger® Scuba Crepe Dress!
London Times;Wide Shoulder Sheath Dress;https://www.6pm.com/p/london-times-wide-shoulder-sheath-dress-black-red/product/9417736/color/144;https://m.media-amazon.com/images/I/71+8ZdSRP-L._AC_SX510_.jpg;Black/Red; 95% polyester, 5% spandex;Allover floral design will take your springtime style to a new level wearing the London Times™ Wide Shoulder Sheath Dress.
Joules;Callie Print;https://www.6pm.com/p/joules-callie-print-green-lemon-ditsy/product/9434060/color/882246;https://m.media-amazon.com/images/I/71HKo93-9OL._AC_SX510_.jpg;Green/Lemon Ditsy;" 100% viscose; Lining: 100% polyester";The Joules® Callie Print dress will add a little zing to your everyday look with its blouson silhouette, a simple waist tie for the perfect fit, and an allover lemon print on a viscose fabrication. 
LAmade;Dime Dress;https://www.6pm.com/p/lamade-dime-dress-black/product/9287686/color/3;https://m.media-amazon.com/images/I/716YZeki8QL._AC_SX510_.jpg;Black; 95% micromodal, 5% spandex ;Breathe life into your look with this stunning LAmade™ Dime Dress in a fashionable shift silhouette. 
Jack by BB Dakota;Pretty Young Thing Dress;https://www.6pm.com/p/jack-by-bb-dakota-pretty-young-thing-dress-black/product/9287397/color/3;https://m.media-amazon.com/images/I/71BYYco3RgL._AC_SX510_.jpg;Black; 100% polyester;With flutter sleeves and a simple shift silhouette, this Jack by BB Dakota™ Pretty Young Dress will make sure all eyes are on you. 
